seg_index,lat_center,lon_center,lat_inner,lon_inner,lat_outer,lon_outer
120,-8.166085406,113.7187077,-8.166103552,113.7187493,-8.166067259,113.7186662
121,-8.166021933,113.7187357,-8.166039748,113.7187774,-8.166004119,113.718694
122,-8.165958731,113.7187631,-8.165976362,113.7188049,-8.1659411,113.7187213
123,-8.165895798,113.7187906,-8.165913871,113.7188322,-8.165877724,113.718749
124,-8.165834688,113.7188181,-8.165853285,113.7188595,-8.165816091,113.7187768
125,-8.165776976,113.7188453,-8.165796313,113.7188863,-8.165757638,113.7188042
126,-8.165720906,113.7188726,-8.165740621,113.7189134,-8.165701191,113.7188317
127,-8.165665165,113.7188997,-8.165684538,113.7189407,-8.165645792,113.7188587
128,-8.165610453,113.7189254,-8.165628976,113.7189668,-8.165591929,113.718884
129,-8.165557223,113.7189508,-8.165577047,113.7189916,-8.165537399,113.71891
130,-8.165504357,113.7189786,-8.165525992,113.7190184,-8.165482721,113.7189387
131,-8.165453864,113.7190057,-8.165474433,113.7190461,-8.165433294,113.7189653
132,-8.165409346,113.7190208,-8.165414895,113.7190658,-8.165403796,113.7189757
133,-8.16537212,113.7190154,-8.16535298,113.7190565,-8.16539126,113.7189743
134,-8.1653424,113.7189877,-8.165305004,113.719013,-8.165379796,113.7189625
135,-8.165318312,113.7189405,-8.165276639,113.7189576,-8.165359986,113.7189234
136,-8.165296724,113.7188841,-8.165254542,113.7188999,-8.165338907,113.7188684
137,-8.165275317,113.7188291,-8.165233856,113.7188467,-8.165316778,113.7188115
138,-8.165254158,113.7187793,-8.165212992,113.7187976,-8.165295324,113.718761
139,-8.165234586,113.7187334,-8.165193148,113.718751,-8.165276025,113.7187158
140,-8.165215869,113.7186898,-8.165174821,113.7187084,-8.165256916,113.7186713
141,-8.165197472,113.7186478,-8.165156272,113.718666,-8.165238672,113.7186296
142,-8.165179318,113.7186052,-8.165137904,113.7186229,-8.165220731,113.7185875
143,-8.165161007,113.718561,-8.165119485,113.7185785,-8.16520253,113.7185436
144,-8.165142577,113.7185167,-8.165101169,113.7185344,-8.165183984,113.718499
145,-8.16512369,113.7184721,-8.165082426,113.7184902,-8.165164955,113.7184541
146,-8.16510381,113.718427,-8.16506292,113.7184459,-8.165144701,113.7184081
147,-8.165083129,113.7183804,-8.16504196,113.7183987,-8.165124299,113.7183621
148,-8.165062024,113.7183314,-8.165020734,113.7183494,-8.165103313,113.7183134
149,-8.165041195,113.7182813,-8.16499958,113.7182985,-8.16508281,113.7182641
150,-8.165021523,113.7182329,-8.164979949,113.7182503,-8.165063097,113.7182156
151,-8.165002201,113.7181865,-8.164960867,113.7182044,-8.165043534,113.7181686
152,-8.164982435,113.7181411,-8.164941444,113.7181597,-8.165023427,113.7181224
153,-8.164962189,113.7180957,-8.164921211,113.7181144,-8.165003167,113.718077
154,-8.164941958,113.7180501,-8.164900871,113.7180686,-8.164983046,113.7180317
155,-8.164922812,113.7180048,-8.164881193,113.718022,-8.16496443,113.7179876
156,-8.164904715,113.7179599,-8.164863043,113.717977,-8.164946386,113.7179429
157,-8.16488678,113.7179151,-8.164845063,113.717932,-8.164928497,113.7178981
158,-8.164868299,113.7178694,-8.164826777,113.7178869,-8.164909821,113.717852
159,-8.164848358,113.7178225,-8.164807225,113.7178408,-8.164889491,113.7178041
160,-8.164827639,113.7177746,-8.164786367,113.7177926,-8.164868911,113.7177565
161,-8.164807615,113.7177278,-8.164766337,113.7177458,-8.164848893,113.7177098
162,-8.164788241,113.7176826,-8.164747001,113.7177007,-8.16482948,113.7176645
163,-8.164769231,113.7176392,-8.16472825,113.7176579,-8.164810213,113.7176205
164,-8.164751597,113.7175976,-8.164709895,113.7176146,-8.164793299,113.7175806
165,-8.164736574,113.7175558,-8.16469379,113.7175698,-8.164779358,113.7175418
166,-8.164723284,113.7175168,-8.164681093,113.7175325,-8.164765474,113.7175011
167,-8.164706729,113.7174873,-8.164672903,113.7175172,-8.164740556,113.7174574
168,-8.164680923,113.7174722,-8.164671196,113.7175166,-8.16469065,113.7174279
169,-8.164645476,113.717472,-8.164652864,113.7175168,-8.164638088,113.7174272
170,-8.164603844,113.7174821,-8.164616999,113.7175255,-8.16459069,113.7174386
171,-8.16455974,113.7174972,-8.164575461,113.7175398,-8.16454402,113.7174547
172,-8.164517104,113.7175115,-8.164529554,113.7175552,-8.164504654,113.7174679
173,-8.164476699,113.7175236,-8.164489851,113.7175671,-8.164463547,113.7174802
174,-8.164438467,113.717536,-8.164452839,113.7175791,-8.164424095,113.717493
175,-8.164401229,113.7175482,-8.164414542,113.7175916,-8.164387916,113.7175048
176,-8.164362921,113.7175603,-8.164376446,113.7176036,-8.164349395,113.717517
177,-8.164324712,113.7175732,-8.164339729,113.717616,-8.164309695,113.7175304
178,-8.164286895,113.7175875,-8.164303383,113.7176298,-8.164270408,113.7175453
179,-8.164249669,113.717601,-8.164263501,113.7176443,-8.164235837,113.7175578
180,-8.164214335,113.7176087,-8.164218705,113.7176539,-8.164209964,113.7175635
181,-8.164180261,113.717607,-8.164171524,113.7176515,-8.164188998,113.7175624
182,-8.164146164,113.7175953,-8.164126702,113.7176362,-8.164165626,113.7175543
183,-8.164111165,113.7175765,-8.164088572,113.7176157,-8.164133759,113.7175372
184,-8.164074953,113.7175546,-8.164051459,113.7175934,-8.164098446,113.7175159
185,-8.164037539,113.717532,-8.164014836,113.7175712,-8.164060241,113.7174928
186,-8.163999561,113.7175102,-8.163977812,113.7175499,-8.164021311,113.7174704
187,-8.163962302,113.7174879,-8.163938328,113.7175264,-8.163986277,113.7174495
188,-8.163928782,113.7174619,-8.163898088,113.7174951,-8.163959476,113.7174287
189,-8.163901491,113.7174308,-8.163865147,113.7174576,-8.163937836,113.7174041
190,-8.163878565,113.7173933,-8.163838802,113.7174145,-8.163918329,113.7173721
191,-8.163858815,113.7173505,-8.163817188,113.7173677,-8.163900441,113.7173334
192,-8.163845282,113.7173073,-8.163801368,113.7173171,-8.163889196,113.7172976
193,-8.163846583,113.7172689,-8.163804067,113.7172541,-8.163889098,113.7172836
194,-8.163868442,113.7172376,-8.163839067,113.7172032,-8.163897818,113.717272
195,-8.163903874,113.7172098,-8.163877974,113.7171727,-8.163929774,113.717247
196,-8.163939941,113.7171796,-8.163908506,113.7171471,-8.163971376,113.7172121
197,-8.16396427,113.7171433,-8.163922429,113.7171267,-8.16400611,113.71716
198,-8.163969084,113.7170985,-8.163924431,113.7171039,-8.164013737,113.7170932
199,-8.163956777,113.717047,-8.163914426,113.7170623,-8.163999128,113.7170318
200,-8.16393847,113.7169951,-8.163896102,113.7170103,-8.163980839,113.7169799
201,-8.163927321,113.7169495,-8.163882628,113.7169545,-8.163972014,113.7169445
202,-8.163932545,113.7169134,-8.163891957,113.7168939,-8.163973132,113.716933
203,-8.163956848,113.7168861,-8.163931629,113.7168485,-8.163982068,113.7169237
204,-8.163997071,113.7168653,-8.163980561,113.716823,-8.164013581,113.7169075
205,-8.164046656,113.7168465,-8.164031496,113.7168037,-8.164061817,113.7168892
206,-8.164099287,113.7168254,-8.164081457,113.7167837,-8.164117117,113.7168671
207,-8.164151132,113.7168025,-8.164132861,113.716761,-8.164169404,113.716844
208,-8.16420054,113.7167807,-8.164182797,113.7167389,-8.164218284,113.7168224
209,-8.164245902,113.7167612,-8.164228458,113.7167193,-8.164263346,113.716803
210,-8.164286382,113.7167442,-8.164269429,113.7167021,-8.164303335,113.7167863
211,-8.164321342,113.7167307,-8.164306227,113.7166879,-8.164336457,113.7167734
212,-8.164350918,113.7167195,-8.164334534,113.7166772,-8.164367301,113.7167618
213,-8.164375859,113.7167083,-8.164355349,113.7166679,-8.164396368,113.7167487
214,-8.164393561,113.7166959,-8.164361724,113.7166638,-8.164425399,113.716728
215,-8.164400915,113.7166811,-8.16435621,113.7166762,-8.164445619,113.716686
216,-8.164398519,113.7166622,-8.164355595,113.7166757,-8.164441443,113.7166487
217,-8.164389136,113.7166387,-8.164348596,113.7166584,-8.164429675,113.7166191
218,-8.164375696,113.7166119,-8.164335981,113.7166332,-8.164415411,113.7165906
219,-8.164360521,113.7165832,-8.164320892,113.7166047,-8.164400151,113.7165617
220,-8.164345006,113.7165531,-8.164304873,113.7165736,-8.164385139,113.7165326
221,-8.164329876,113.7165224,-8.164289518,113.7165425,-8.164370233,113.7165024
222,-8.164314524,113.7164907,-8.164274114,113.7165107,-8.164354934,113.7164708
223,-8.164298351,113.7164563,-8.164257517,113.7164753,-8.164339184,113.7164372
224,-8.16428184,113.7164201,-8.164241011,113.7164391,-8.164322669,113.7164011
225,-8.164265612,113.7163848,-8.164224888,113.7164041,-8.164306336,113.7163656
226,-8.164249613,113.7163518,-8.164209617,113.7163726,-8.164289608,113.7163311
227,-8.164233865,113.716321,-8.164193942,113.7163419,-8.164273788,113.7163001
228,-8.164218527,113.71629,-8.164177998,113.7163096,-8.164259056,113.7162703
229,-8.164202332,113.7162556,-8.164161666,113.716275,-8.164242997,113.7162362
230,-8.164183923,113.7162155,-8.164143023,113.7162343,-8.164224823,113.7161966
231,-8.16416466,113.71617,-8.164122927,113.7161869,-8.164206394,113.7161531
232,-8.164147716,113.7161234,-8.164105038,113.7161377,-8.164190394,113.7161091
233,-8.164137427,113.7160777,-8.1640928,113.7160832,-8.164182054,113.7160721
234,-8.164137399,113.7160328,-8.164092793,113.7160271,-8.164182006,113.7160385
235,-8.164148043,113.7159879,-8.164105554,113.715973,-8.164190531,113.7160027
236,-8.164165167,113.7159417,-8.164123454,113.7159247,-8.164206881,113.7159586
237,-8.164183088,113.7158944,-8.164140834,113.7158789,-8.164225343,113.7159099
238,-8.164200965,113.715845,-8.164158762,113.7158294,-8.164243169,113.7158607
239,-8.164221716,113.7157947,-8.164180962,113.7157755,-8.16426247,113.7158139
240,-8.164249369,113.7157443,-8.164211511,113.7157198,-8.164287227,113.7157688
241,-8.164286912,113.7156922,-8.164251966,113.7156636,-8.164321859,113.7157208
242,-8.164332544,113.7156405,-8.164300418,113.7156087,-8.16436467,113.7156723
243,-8.164382099,113.7155913,-8.164351211,113.7155583,-8.164412986,113.7156243
244,-8.164432552,113.715544,-8.164402269,113.7155104,-8.164462835,113.7155776
245,-8.164482538,113.7154979,-8.164452169,113.7154644,-8.164512908,113.7155314
246,-8.164531765,113.7154528,-8.16450178,113.715419,-8.164561751,113.7154867
247,-8.164578795,113.7154111,-8.164549431,113.7153767,-8.164608158,113.7154455
248,-8.164620371,113.7153756,-8.164591816,113.7153405,-8.164648927,113.7154107
249,-8.164650632,113.7153509,-8.164622854,113.7153152,-8.164678409,113.7153866
250,-8.164662895,113.7153417,-8.164655403,113.7152969,-8.164670387,113.7153865
