seg_index,lat_center,lon_center,lat_inner,lon_inner,lat_outer,lon_outer
163,-8.899284704,116.3038375,-8.899301236,116.3037753,-8.899268172,116.3038998
164,-8.899341909,116.3038513,-8.899355597,116.3037884,-8.899328221,116.3039142
165,-8.899400768,116.303863,-8.899412135,116.3037996,-8.899389401,116.3039264
166,-8.899460862,116.3038726,-8.899469929,116.3038088,-8.899451795,116.3039364
167,-8.899521569,116.3038807,-8.89952953,116.3038168,-8.899513609,116.3039446
168,-8.899582514,116.3038877,-8.899589186,116.3038236,-8.899575842,116.3039517
169,-8.899644028,116.3038935,-8.899649476,116.3038293,-8.89963858,116.3039577
170,-8.899706403,116.3038983,-8.899710791,116.303834,-8.899702015,116.3039625
171,-8.89976924,116.3039023,-8.899773027,116.303838,-8.899765452,116.3039666
172,-8.899832019,116.303906,-8.899835947,116.3038417,-8.89982809,116.3039703
173,-8.899894345,116.3039097,-8.899897918,116.3038453,-8.899890771,116.303974
174,-8.899956213,116.303913,-8.899959504,116.3038486,-8.899952921,116.3039773
175,-8.900017826,116.3039164,-8.900021709,116.3038521,-8.900013943,116.3039807
176,-8.900079385,116.3039205,-8.900084143,116.3038563,-8.900074627,116.3039848
177,-8.90014131,116.3039254,-8.900146576,116.3038612,-8.900136044,116.3039896
178,-8.900203802,116.3039308,-8.900209725,116.3038667,-8.900197879,116.303995
179,-8.900266914,116.3039368,-8.900273136,116.3038727,-8.900260692,116.3040009
180,-8.900331112,116.3039429,-8.900336995,116.3038787,-8.900325229,116.304007
181,-8.900396216,116.3039488,-8.900401994,116.3038846,-8.900390438,116.3040129
182,-8.900461538,116.3039548,-8.900467577,116.3038907,-8.900455499,116.3040189
183,-8.90052688,116.303961,-8.900532979,116.3038968,-8.90052078,116.3040251
184,-8.900592097,116.3039674,-8.900598619,116.3039033,-8.900585576,116.3040315
185,-8.900657248,116.303974,-8.900663778,116.3039099,-8.900650719,116.3040381
186,-8.900722298,116.3039807,-8.900728946,116.3039166,-8.900715649,116.3040448
187,-8.900787079,116.3039874,-8.900793743,116.3039234,-8.900780415,116.3040515
188,-8.900851233,116.3039942,-8.900858087,116.3039302,-8.900844378,116.3040583
189,-8.90091462,116.3040008,-8.900921161,116.3039368,-8.900908079,116.3040649
190,-8.90097746,116.3040071,-8.900983653,116.303943,-8.900971267,116.3040712
191,-8.901039684,116.3040131,-8.901045942,116.303949,-8.901033427,116.3040772
192,-8.90110106,116.3040189,-8.901106909,116.3039548,-8.901095211,116.3040831
193,-8.901161771,116.3040239,-8.901166494,116.3039597,-8.901157047,116.3040882
194,-8.901221823,116.3040279,-8.901225525,116.3039636,-8.90121812,116.3040922
195,-8.90128069,116.3040306,-8.901282908,116.3039662,-8.901278472,116.304095
196,-8.901338156,116.3040316,-8.901338089,116.3039671,-8.901338223,116.304096
197,-8.901394238,116.3040303,-8.901391479,116.303966,-8.901396998,116.3040947
198,-8.901448982,116.3040269,-8.901443581,116.3039627,-8.901454383,116.3040911
199,-8.901502477,116.304021,-8.901493855,116.3039572,-8.901511099,116.3040849
200,-8.901554629,116.3040127,-8.901543018,116.3039494,-8.90156624,116.3040761
201,-8.901604946,116.3040018,-8.901589224,116.3039394,-8.901620668,116.3040643
202,-8.901653492,116.3039881,-8.901634024,116.3039267,-8.901672961,116.3040495
203,-8.901700597,116.3039712,-8.901676759,116.3039114,-8.901724435,116.3040311
204,-8.901746277,116.303951,-8.90171796,116.3038931,-8.901774594,116.3040088
205,-8.901790601,116.3039273,-8.901758256,116.3038716,-8.901822946,116.303983
206,-8.901833697,116.3039004,-8.901797813,116.3038469,-8.901869581,116.3039539
207,-8.901875603,116.3038702,-8.901836348,116.3038192,-8.901914857,116.3039213
208,-8.901916,116.3038368,-8.901873233,116.3037887,-8.901958768,116.303885
