t-long,t-lat
116.3090254,-8.900865157
116.3090285,-8.900823107
116.3090286,-8.900787616
116.3090295,-8.900757038
116.3090298,-8.900722502
116.3090298,-8.900681876
116.3090281,-8.900641663
116.3090262,-8.900600444
116.3090236,-8.900561339
116.3090203,-8.900523367
116.3090189,-8.900485041
116.3090169,-8.900442647
116.3090171,-8.900407823
116.3090162,-8.900366441
116.3090143,-8.900325203
116.309012,-8.900281968
116.3090099,-8.900239716
116.3090095,-8.90020159
116.3090087,-8.900161316
116.3090092,-8.900113774
116.3090077,-8.900075976
116.3090074,-8.900038896
116.3090066,-8.899998909
116.3090047,-8.89996135
116.309003,-8.899923914
116.3090016,-8.89988834
116.3090002,-8.899858446
116.3090004,-8.899826442
116.3089992,-8.899795901
116.308998,-8.899754857
116.3089959,-8.899718071
116.3089949,-8.899688047
116.3089948,-8.899653614
116.3089937,-8.899617702
116.3089934,-8.899582404
116.3089928,-8.899544722
116.3089906,-8.899508128
116.3089887,-8.89947316
116.3089859,-8.899432658
116.3089836,-8.89939536
116.3089813,-8.899362856
116.3089794,-8.899327264
116.3089773,-8.899290858
116.3089745,-8.899254611
116.3089717,-8.899219045
116.3089681,-8.899179109
116.3089643,-8.899132746
116.3089565,-8.899087395
116.3089442,-8.899043718
116.308924,-8.898993209
116.3089028,-8.898953956
116.3088722,-8.898913683
116.3088414,-8.898878817
116.3088122,-8.898853887
116.3087783,-8.898824566
116.3087352,-8.898790214
116.3086913,-8.898756093
116.3086418,-8.898719139
116.3085953,-8.898684345
116.3085547,-8.898645979
116.3085143,-8.898608812
116.3084623,-8.898572863
116.30842,-8.898536992
116.308377,-8.898505571
116.3083364,-8.898470981
116.3082965,-8.898440589
116.3082522,-8.898400981
116.3082117,-8.898360892
116.3081667,-8.898325707
116.308125,-8.898292751
116.3080842,-8.898256892
116.3080449,-8.89822084
116.3080103,-8.898188115
116.3079774,-8.898156467
116.307943,-8.898118913
116.3079051,-8.898075324
116.3078635,-8.898026634
116.3078318,-8.897973774
116.3077962,-8.897946508
116.3077633,-8.897906267
116.3077345,-8.897872513
116.3077103,-8.897840867
116.3076879,-8.897803207
116.3076657,-8.897766908
116.3076362,-8.897721791
116.3076154,-8.897693778
116.3075967,-8.897650809
116.3075849,-8.897606928
116.3075814,-8.897553097
116.3075853,-8.897500243
116.3075881,-8.897457356
116.3076059,-8.897418425
116.307628,-8.897379079
116.3076434,-8.897342282
116.3076611,-8.897302228
116.3076791,-8.897272107
116.3076921,-8.897238521
116.3077112,-8.897206759
116.3077335,-8.897164597
116.3077616,-8.897120455
116.307789,-8.897084019
116.3078205,-8.897057426
116.3078537,-8.897040468
116.3079061,-8.897025996
116.3079538,-8.897017729
116.3080073,-8.89701023
116.3080701,-8.897005223
116.3081275,-8.897002561
116.3081867,-8.89699372
116.3082515,-8.896985703
116.308305,-8.89697818
116.3083618,-8.896964886
116.3084121,-8.896948078
116.3084591,-8.896915248
116.3085019,-8.896879283
116.3085271,-8.896849328
116.3085486,-8.896807075
116.3085598,-8.89675519
116.3085674,-8.896700917
116.3085726,-8.89663877
116.3085721,-8.896577554
116.3085734,-8.896516326
116.3085719,-8.896455413
116.3085665,-8.896389994
116.3085649,-8.89632815
116.3085675,-8.896260291
116.308565,-8.896193331
116.3085649,-8.896131672
116.3085642,-8.896065951
116.3085683,-8.895996181
116.3085684,-8.8959343
116.3085669,-8.895862073
116.3085663,-8.89580559
116.3085694,-8.895750173
116.3085642,-8.895690915
116.3085615,-8.895622513
116.3085655,-8.895549841
116.3085618,-8.895486627
116.3085574,-8.895418385
116.3085525,-8.895358931
116.3085521,-8.895314703
116.3085529,-8.895246833
116.3085539,-8.895190014
116.3085508,-8.89513044
116.3085424,-8.895061056
116.3085379,-8.89500348
116.3085336,-8.894935406
116.3085226,-8.894878991
116.3085112,-8.894822931
116.3085006,-8.894769955
116.3084796,-8.894718625
116.3084517,-8.894673514
116.3084254,-8.894626493
116.308398,-8.8945939
116.3083626,-8.894566242
116.3083209,-8.894541368
116.3082728,-8.89452104
116.3082194,-8.894497053
116.3081631,-8.894483464
116.3080989,-8.89448711
116.3080355,-8.894494172
116.3079977,-8.894502275
116.3079527,-8.89450983
116.3079029,-8.894521701
116.3078493,-8.894532443
116.3077949,-8.894548617
116.3077422,-8.894564473
116.3076965,-8.894579161
116.3076473,-8.894594449
116.307583,-8.894609779
116.3075234,-8.894626812
116.3074572,-8.894646723
116.3073975,-8.894662031
116.307336,-8.894679374
116.3072713,-8.894698986
116.3072201,-8.894712824
116.3071628,-8.894732924
116.3071123,-8.894750064
116.307066,-8.894759505
116.3070199,-8.894770705
116.3069669,-8.894783172
116.306912,-8.894797783
116.3068519,-8.894811393
116.3067972,-8.894825708
116.3067356,-8.894843041
116.3066844,-8.894858591
